step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
450.0,67,8037.0,0.24173335926399545,6,298.0,0.02769327372893355,22,5022.0,0.030205993176111293,18,2324.0,0.007142258482271973,21,2769.0,0.000661528751668949,67,10413.0
455.0,73,8343.0,0.12398359865445896,5,277.0,0.071277040532808,25,5138.0,0.00014385433272475455,20,2420.0,6.681485741945319e-05,23,2884.0,0.0,73,10719.0
460.0,72,8703.0,0.2920594006812128,5,302.0,0.12327460260992217,24,5258.0,0.0068621182838762874,20,2520.0,0.004162339999744828,23,2999.0,0.0,72,11079.0
465.0,73,9065.0,0.2844249259689029,5,327.0,0.08306462680412662,25,5383.0,0.016408267300804844,20,2620.0,0.012815679639348435,23,3114.0,0.0035175820335375586,73,11444.0
470.0,76,9432.0,0.22507775142523417,6,353.0,0.00979076371088211,26,5509.0,0.00017698059509778795,20,2720.0,0.021250662651792734,24,3229.0,0.011486128467818397,76,11811.0
475.0,76,9808.0,0.2089873824290055,6,383.0,0.04675965199021921,26,5640.0,0.017282033538500465,21,2821.0,9.734379413383234e-05,23,3344.0,0.006909589514810656,76,12188.0
480.0,78,10194.0,0.20924461491456708,6,413.0,0.09218576336285095,27,5772.0,0.0,21,2926.0,0.0,24,3463.0,0.011169575059412427,78,12574.0
485.0,79,10587.0,0.24657403127650332,6,443.0,0.0569934639807454,27,5907.0,0.005052970577738825,21,3031.0,0.0,25,3586.0,0.003284557859219235,79,12967.0
490.0,81,10989.0,0.11114343655844353,7,476.0,5.5076714456738624e-06,28,6046.0,0.0103190336060326,21,3136.0,0.0,25,3711.0,0.009772811886866033,81,13369.0
495.0,81,11296.0,0.13581849223587947,7,511.0,0.019179656937518386,29,6190.0,2.72847734873258e-07,19,3083.0,0.0009371487143932982,26,3836.0,0.01645672789478382,81,13620.0
500.0,77,11493.0,0.24563490388915765,7,546.0,0.04006257811874088,29,6338.0,0.008896895770212698,15,3023.0,0.016900114237391642,26,3962.0,0.0056116970280238486,77,13869.0
505.0,78,11826.0,0.4670314794843634,7,581.0,0.06074754098718894,29,6483.0,0.03262644586657949,16,3095.0,0.028611962499983944,26,4092.0,0.012439075640466816,78,14251.0
510.0,81,12225.0,0.4719911423549586,8,619.0,1.797809072258268e-05,29,6628.0,0.05347960331401508,18,3181.0,0.009102961569556154,26,4222.0,0.020180233649537208,81,14650.0
515.0,78,10311.0,0.25019356818147537,8,659.0,0.0,26,5487.0,0.021058646911459852,17,3160.0,0.021005981829102193,27,4354.0,5.642300432166204e-06,78,13660.0
