step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
380.0,6,273.0,3.8903177128784674,0,0.0,1.0,2,155.0,0.1507498620232942,2,53.0,0.18749909219150468,2,71.0,0.0,6,279.0
385.0,6,303.0,5.038682046317768,0,0.0,1.0,2,165.0,0.09761247246413945,2,63.0,0.26186730966212785,2,81.0,0.2793084365956913,6,309.0
390.0,8,250.0,0.18050976533327376,0,0.0,1.0,3,178.0,0.0,4,77.0,0.000138504451413638,1,34.0,0.015962250224034618,8,289.0
395.0,8,290.0,0.7258049839115748,0,0.0,1.0,3,193.0,0.0,4,97.0,1.5712579682019006e-06,1,6.0,6.434683708798083e-06,8,296.0
400.0,6,238.0,1.549239909395311,0,3.0,0.2390370026217404,2,127.0,0.0,4,117.0,0.08376154067686982,0,0.0,1.0,6,247.0
405.0,6,268.0,3.0201831124127367,0,6.0,0.3563019074425117,2,137.0,0.0,4,137.0,0.13945234353242886,0,0.0,1.0,6,280.0
410.0,9,302.0,2.182895075396398,1,9.0,0.27527228111185287,2,147.0,0.0,6,161.0,0.10956260649182219,0,0.0,1.0,9,317.0
415.0,8,342.0,1.559474582417954,1,14.0,0.1521456906656068,2,157.0,0.0,5,186.0,0.03663382301202573,0,0.0,1.0,8,357.0
420.0,11,395.0,1.4430438796941103,2,22.0,3.977132351892583e-05,2,167.0,0.25969061207557376,7,221.0,0.043274722182047615,0,0.0,1.0,11,410.0
425.0,11,450.0,0.5034495726932803,2,32.0,0.03193541943737922,2,177.0,0.0025760886979226153,7,256.0,0.03990981925509506,0,0.0,1.0,11,465.0
430.0,12,493.0,0.416279841128046,2,42.0,0.09673421276545931,3,192.0,0.0,7,274.0,3.8943889286745025e-06,0,0.0,1.0,12,508.0
435.0,13,553.0,0.7451157443411647,2,52.0,0.15096835441771167,3,207.0,0.0,7,309.0,0.0,1,0.0,0.0,13,568.0
440.0,12,613.0,0.6677443946710083,2,62.0,0.004751591575728965,3,225.0,0.10060958657162312,7,344.0,0.0,0,0.0,0.1841566642331787,12,631.0
445.0,12,658.0,1.1450661715554695,3,77.0,0.0,2,220.0,0.19559036298783283,7,379.0,0.0,0,0.0,0.36771053890795413,12,676.0
450.0,13,719.0,0.9075292661180868,3,92.0,0.0,3,231.0,0.0001838761934945015,7,414.0,0.0,0,0.0,0.5724098232262456,13,737.0
455.0,14,785.0,0.49019744165635804,3,107.0,0.0,3,246.0,0.0,7,449.0,0.0,1,1.0,0.00064171320846883,14,803.0
460.0,12,739.0,0.7725447533086511,1,45.0,0.009770819606119915,3,261.0,0.0,7,484.0,0.0,1,6.0,0.0,12,796.0
465.0,9,540.0,0.9744987022252589,0,0.0,0.1559060329574718,1,102.0,0.08156517934374266,7,519.0,8.570795345006954e-07,1,11.0,0.0,9,632.0
470.0,4,136.0,2.5067889029649315,0,0.0,0.30782457143872805,1,27.0,0.25090834497327774,2,240.0,0.014457749998353326,1,19.0,0.20735566994822266,4,286.0
